id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
37079603,"Luxury apartment, Amsterdam, Oude Pijp (center)",13054938,Simon,,De Pijp - Rivierenbuurt,52.35741,4.88884,Entire home/apt,194,2,10,2020-02-16,0.30,1,0,0,0363 50ED 35E9 C41E 1113
37085081,"Luxury Loft (17th C.) Canal View, 130m2",22107823,Pien,,Centrum-West,52.3762,4.8861,Entire home/apt,275,4,4,2019-08-26,0.12,1,0,0,0363DECD50517D4387E6
37098620,Delightful ❤️,279055322,Fai,,Watergraafsmeer,52.35226,4.92884,Private room,72,1,11,2022-06-04,0.32,1,335,3,Exempt
37098880,Tiny Private House in the center,15996910,Kyro And Sun,,Centrum-Oost,52.36849,4.90864,Private room,134,2,60,2022-06-04,2.00,4,1,40,0363 BD4B 3134 C4A3 EDD2
37113944,Cozy & green home with 2 resident cats,22896861,Eszter,,Bos en Lommer,52.37787,4.85575,Entire home/apt,80,20,4,2020-08-25,0.12,1,0,0,0363 07BE 65FB 39F4 5321
37117584,★ 3BR ★ FAMILY APARTMENT ★ SUNNY ROOFTOP TERRACE ★,3845311,Janneke,,De Baarsjes - Oud-West,52.36906,4.8605,Entire home/apt,180,3,5,2022-05-03,0.22,1,3,4,0363BA0E62D0D04C0CC1
37137406,"Cozy two-room apartment in quiet, green area",79302346,Melissa,,Buitenveldert - Zuidas,52.32671,4.87446,Entire home/apt,60,3,4,2022-05-28,0.12,1,0,2,0363 4806 13F3 4D73 44A9
37164265,Cozy appartement Amsterdam Sloterdijk,36469894,Emine,,Bos en Lommer,52.38422,4.84844,Entire home/apt,286,3,36,2022-04-29,1.08,1,11,9,0363OB48C6FCB484A30A
37205427,"JOZ, historical suites in centre of Amsterdam",278273438,Joep,,Centrum-West,52.37849,4.89251,Private room,209,2,12,2021-11-02,0.36,1,0,1,0363 985B 793C 02D1 A76F
37211717,B&B Woestduin; new small cozy private room.,13340258,B&B Woestduin,,Zuid,52.35157,4.84712,Private room,63,2,19,2022-04-24,0.55,1,0,15,0363950414590420114B
37231449,Cozy apartment in the heart of the Jordaan,22204012,Sofia,,Centrum-West,52.37498,4.8765,Entire home/apt,140,3,2,2022-06-05,1.20,1,2,2,0363742354550F1B893E
37276493,Spacious canal apartment in Amsterdam city center,280629349,Bas,,Centrum-Oost,52.36491,4.87975,Entire home/apt,214,2,4,2019-09-10,0.12,1,0,0,0363 51E6 BC70 A7CE 1A6D
37318497,Romantic apartment in city centre,3681145,Nick,,Centrum-Oost,52.37004,4.92617,Entire home/apt,150,2,19,2022-04-17,0.57,1,7,10,0363 BB1F 209C 26D6 DCC5
37324008,Spacious apartment near city centre of Amsterdam,156290299,Lex,,Westerpark,52.39368,4.87906,Entire home/apt,125,5,4,2022-04-02,0.12,1,0,3,0363 049B 37D5 0B0D 4C9D
37326878,Jordaan: Complete house w. garden and roof terrace,7256557,Marian,,Centrum-West,52.38072,4.88533,Entire home/apt,400,3,11,2022-05-25,0.33,1,87,4,0363 D472 3319 D165 91D0
37343840,Private floor&bathroom 2 rooms: 12 min to center!,7727479,Sandra,,IJburg - Zeeburgereiland,52.35951,4.98009,Private room,139,2,19,2022-05-22,0.56,2,51,12,0363 225B 6758 DAE4 95F9
37344101,RoomWest Cosy with ensuite bathroom,281337057,RoomWest,,De Baarsjes - Oud-West,52.37173,4.87239,Hotel room,127,2,64,2022-05-26,1.86,2,0,24,0363 3C78 0B3D BA3E 35B7
